stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b
4095,Castro Barros,1155,,,Galán,Ob. Clara
4095,Castro Barros,1155,,,Galán,Ob. Clara
4095,Castro Barros,1155,,,Galán,Ob. Clara
4095,Castro Barros,1155,,,Galán,Ob. Clara
4095,Castro Barros,1155,,,Galán,Ob. Clara
4095,Castro Barros,1155,,,Galán,Ob. Clara
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4096,Castro Barros,863,,,Ob. Clara,Neuquén
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4097,Castro Barros,647,,,Neuquén,Soler
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4098,Santa Fé,871,,,Dumesnil,Mariano Benitez
4099,Santa Fé ,321,,,La Rioja,Santa Rosa
4099,Santa Fé ,321,,,La Rioja,Santa Rosa
4099,Santa Fé ,321,,,La Rioja,Santa Rosa
4099,Santa Fé ,321,,,La Rioja,Santa Rosa
4100,Colón,,1118,,Coronel Olmedo,Mendoza
4100,Colón,,1118,,Coronel Olmedo,Mendoza
4100,Colón,,1118,,Coronel Olmedo,Mendoza
4100,Colón,,1118,,Coronel Olmedo,Mendoza
4101,Colón,635,,,Fragueiro,Marcelo T de Alvear
4101,Colón,635,,,Fragueiro,Marcelo T de Alvear
4101,Colón,635,,,Fragueiro,Marcelo T de Alvear
4102,Colón,335,,,Sucre,Tucumán
4102,Colón,335,,,Sucre,Tucumán
4102,Colón,335,,,Sucre,Tucumán
4102,Colón,335,,,Sucre,Tucumán
4103,Colón,45,,,Rivera Indarte,San Martín
4103,Colón,45,,,Rivera Indarte,San Martín
4103,Colón,45,,,Rivera Indarte,San Martín
4103,Colón,45,,,Rivera Indarte,San Martín
4103,Colón,45,,,Rivera Indarte,San Martín
4104,Olmos,,338,,Maipú,Salta
4104,Olmos,,338,,Maipú,Salta
4104,Olmos,,338,,Maipú,Salta
4104,Olmos,,338,,Maipú,Salta
4104,Olmos,,338,,Maipú,Salta
4105,Obispo Salguero,,67,,Rosario de Sta Fé,San Jerónimo
4105,Obispo Salguero,,67,,Rosario de Sta Fé,San Jerónimo
4105,Obispo Salguero,,67,,Rosario de Sta Fé,San Jerónimo
4106,Obispo Salguero,346,,,Corrientes,Illia
4106,Obispo Salguero,346,,,Corrientes,Illia
4107,Obispo Salguero,524,,,Rondeau,San Lorenzo
4107,Obispo Salguero,524,,,Rondeau,San Lorenzo
4108,Obispo Salguero,778,,,Obispo Oro,Derqui
4108,Obispo Salguero,778,,,Obispo Oro,Derqui
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4110,Concepcion Arenales,772,,,Thays,Chile
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros
4111,Los Nogales,,,Cs Información,Valparaiso,Enrique Barros
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre
4112,Enrique Barros,,,,Los Nogales,Haya de la Torre
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre
4113,Enrique Barros,,,Pabellón Perú,Los Nogales,Haya de la Torre
4114,Haya de la Torre,,,Cs Quimicas,Enrique Barros,Medina Allende
4114,Haya de la Torre,,,Cs Quimicas,Enrique Barros,Medina Allende
4114,Haya de la Torre,,,Cs Quimicas,Enrique Barros,Medina Allende
4114,Haya de la Torre,,,Cs Quimicas,Enrique Barros,Medina Allende
4115,Haya de la Torre,,,Medina Allende,,
4115,Haya de la Torre,,,Medina Allende,,
4115,Haya de la Torre,,,Medina Allende,,
4115,Haya de la Torre,,,Medina Allende,,
4116,Maestro López,,,Instituto Hellen Keller,,
4116,Maestro López,,,Instituto Hellen Keller,,
4116,Maestro López,,,Instituto Hellen Keller,,
4116,Maestro López,,,Instituto Hellen Keller,,
4117,Maestro López,,,Universidad Tecnológica,,
4117,Maestro López,,,Universidad Tecnológica,,
4117,Maestro López,,,Universidad Tecnológica,,
4117,Maestro López,,,Universidad Tecnológica,,
4118,Uladislao Frías,,,Belardinelli,,
4118,Uladislao Frías,,,Belardinelli,,
4119,Uladislao Frías,526,,,Belardinelli,Valparaiso
4119,Uladislao Frías,526,,,Belardinelli,Valparaiso
4120,Valparaiso,2823,,Carta Molina,Carlos Gardel,Carta Molina
4120,Valparaiso,2823,,Carta Molina,Carlos Gardel,Carta Molina
4120,Valparaiso,2823,,Carta Molina,Carlos Gardel,Carta Molina
4120,Valparaiso,2823,,Carta Molina,Carlos Gardel,Carta Molina
4120,Valparaiso,2823,,Carta Molina,Carlos Gardel,Carta Molina
4121,Javier Díaz,748,,,Valparaiso,Salvador Maldonado
4121,Javier Díaz,748,,,Valparaiso,Salvador Maldonado
4122,Javier Díaz,874,,,Baquero Lascano,Nores Martinez
4122,Javier Díaz,874,,,Baquero Lascano,Nores Martinez
4123,Javier Díaz,1044,,,Mal Paso,Patiño
4123,Javier Díaz,1044,,,Mal Paso,Patiño
4124,Javier Díaz,1296,,,Garzón,Richieri
4124,Javier Díaz,1296,,,Garzón,Richieri
4125,Richieri,3186,,,Tanti,Av. Talleres
4125,Richieri,3186,,,Tanti,Av. Talleres
4126,Richieri,3320,,,Elías Jofre,Capitán Giachino
4126,Richieri,3320,,,Elías Jofre,Capitán Giachino
4127,Richieri,3414,,,Botafogo,Saravia
4127,Richieri,3414,,,Botafogo,Saravia
4128,Richieri,3548,,,Luis Arguello,Bartolomé de las Casas
4128,Richieri,3548,,,Luis Arguello,Bartolomé de las Casas
4129,Richieri,3680,,Santa Marta,,
4129,Richieri,3680,,Santa Marta,,
4130,Richieri,,,Cornelio Pino,,
4130,Richieri,,,Cornelio Pino,,
4131,Richieri,,,O´higgins,,
4131,Richieri,,,O´higgins,,
4132,Richieri,4200,,,O´higgins,Lopez Cabrera
4132,Richieri,3965,,,O´higgins,Lopez Cabrera
4133,Richieri,,,López Cabrera,,
4133,Richieri,4102,,López Cabrera,,
4134,Ramón Villafaña,,,Jorge Córdoba,,
4135,Ramón Villafaña,,,Manuel Reyna,,
4136,Manuel Reyna,4262,,Onofrio Palamara,,
4137,Armando Sica,,,Gomez Molina,,
4137,Armando Sica,,,Gomez Molina,,
4138,Armando Sica,,,Ferreyra de Roca,,
4138,Armando Sica,,,Ferreyra de Roca,,
4140,Cno. San Carlos,5000,,,,
4140,Cno. San Carlos,5000,,,,
4140,Cno. San Carlos,5000,,,,
4142,Colectora Circunvalación,,,O´higgins,,
4143,Colectora Circunvalación,,,Wallmart,O´higgins,Juarez
4144,Onofrio Palamara,2967,,Pública,Luis Saavedra,Pública
4144,Onofrio Palamara,2967,,Pública,Luis Saavedra,Pública
4145,Pública,4100,,Ramón Villafañe,Pública,Ramón Villafañe
4145,Pública,4100,,Ramón Villafañe,Pública,Ramón Villafañe
4146,Pública,3900,,,Lopez Cabrera,Pública
4146,Pública,3900,,,Lopez Cabrera,Pública
4147,Pública,3700,,Celso Barrios,Pública,Celso Barrios
4147,Pública,3700,,Celso Barrios,Pública,Celso Barrios
4147,Pública,3700,,Celso Barrios,Pública,Celso Barrios
4148,Celso Barrios,2900,,Luis Saavedra,Pública,Luis Saavedra
4148,Celso Barrios,2900,,Luis Saavedra,Pública,Luis Saavedra
4148,Celso Barrios,2900,,Luis Saavedra,Pública,Luis Saavedra
4149,Celso Barrios,2800,,Soconcho,Pública,Soconcho
4149,Celso Barrios,2800,,Soconcho,Pública,Soconcho
4150,Guasapampa,3719,,,Celso Barrios,Pública
4150,Guasapampa,3719,,,Celso Barrios,Pública
4151,Guasapampa,3671,,,Pública,Pública
4151,Guasapampa,3671,,,Pública,Pública
4152,Guasapampa,3529,,,Pública,Calmayo
4152,Guasapampa,3529,,,Pública,Calmayo
4153,Calmayo,2548,,,Guasapampa,Carlos Paz
4153,Calmayo,2548,,,Guasapampa,Carlos Paz
4154,Caminiaga,3408,,,Calmayo,Los Hornillos
4154,Caminiaga,3408,,,Calmayo,Los Hornillos
4155,Copina,2309,,Cerro Colorado,Altautina,Cerro Colorado
4156,Copina,2211,,,Amboy,Taninga
4157,Copina,1905,,O´higgins,Ansenusa,O´higgins
4158,Copina,1713,,Iñigo de la pascua,Manco Capac,Iñigo de la pascua
4159,Espinoza Amespil,3229,,,Copina,Tomás Lawson
4160,Tupac Amarú,2105,,Tanti,Olimpia,Tanti
4161,Javier Díaz,1511,,,Tupac Amarú,Hernando de Lerma
4162,Javier Díaz,1327,,,Abreu de Figueroa,Richieri
4163,Richieri,2869,,Justiniano Posse,Pedro Parras,Justiniano Posse
4164,Richieri,,2842,,La estacion,Malagueño
4164,Richieri,,2842,,La estacion,Malagueño
4165,Richieri,2405,,,Malagueño,Luis velez
4165,Richieri,2405,,,Malagueño,Luis velez
4166,Richieri,2194,,Secretaria medio ambiente,Malagueño,Concep.Arenales
4166,Richieri,2194,,secretaria medio ambiente,Malagueño,Concep.Arenales
4167,Concep.Arenales,1215,,,Richieri,Genaro Perez
4167,Concep.Arenales,1215,,,Richieri,Genaro Perez
4167,Concep.Arenales,1215,,,Richieri,Genaro Perez
4168,Concep.Arenales,991,,,Paunero,Nores Martinez
4168,Concep.Arenales,991,,,Paunero,Nores Martinez
4168,Concep.Arenales,991,,,Paunero,Nores Martinez
4169,Concep.Arenales,965,,Lawn tennis,Paunero,Nores Martinez
4169,Concep.Arenales,965,,Lawn tennis,Paunero,Nores Martinez
4169,Concep.Arenales,965,,Lawn tennis,Paunero,Nores Martinez
4173,27 de Abril,25,,,Independencia,Ob. Trejo
4174,27 de Abril,288,,,V.Sarfield,Belgrano
4180,Monseñor Pablo Cabrera,3980,,,Lopez Correa,Juan Nieto
4180,Monseñor Pablo Cabrera,3980,,,Lopez Correa,Juan Nieto
4180,Monseñor Pablo Cabrera,3980,,,Lopez Correa,Juan Nieto
4181,Monseñor Pablo Cabrera,4226,,,Figueroa,D.Diaz
4181,Monseñor Pablo Cabrera,4226,,,Figueroa,D.Diaz
4181,Monseñor Pablo Cabrera,4226,,,Figueroa,D.Diaz
4182,Monseñor Pablo Cabrera,4556,,,D.Diaz,Celiz de Quiroga
4182,Monseñor Pablo Cabrera,4556,,,D.Diaz,Celiz de Quiroga
4182,Monseñor Pablo Cabrera,4556,,,D.Diaz,Celiz de Quiroga
4183,Monseñor Pablo Cabrera,4780,,,Celiz de Quiroga,Perez correa
4183,Monseñor Pablo Cabrera,4780,,,Celiz de Quiroga,Perez correa
4183,Monseñor Pablo Cabrera,4780,,,Celiz de Quiroga,Perez correa
4184,Monseñor Pablo Cabrera,5000,,,Acevedo,D de Vera
4184,Monseñor Pablo Cabrera,5000,,,Acevedo,D de Vera
4184,Monseñor Pablo Cabrera,5000,,,Acevedo,D de Vera
4185,Av La Voz del Interior,5548,,,Circunvalacion,Los Alamanes
4185,Av La Voz del Interior,5548,,,Circunvalacion,Los Alamanes
4185,Av La Voz del Interior,5548,,,Circunvalacion,Los Alamanes
4186,Av La Voz del Interior,5950,,,Circunvalacion,Los Alamanes
4186,Av La Voz del Interior,5950,,,Circunvalacion,Los Alamanes
4186,Av La Voz del Interior,5950,,,Circunvalacion,Los Alamanes
4187,Av La Voz del Interior,6220,,,Circunvalacion,Los Alamanes
4187,Av La Voz del Interior,6220,,,Circunvalacion,Los Alamanes
4187,Av La Voz del Interior,6220,,,Circunvalacion,Los Alamanes
4188,Bv Los Alemanes,2985,,,Av La Voz del Interior,Los Latinos
4189,Los Latinos,6240,,,Los Alamanes,Los Genoveses
4190,Los Latinos,6382,,,Los Alamanes,Los Calabreses
4191,Los Latinos,6783,,,Santa Catalina,Bs Aires
4192,Los Latinos,6985,,,Bs Aires,Rivadavia
4193,Bv Rivadavia,3311,,,Los Latinos,Berritella
4194,Bv Rivadavia,3154,,,Berritella,Av La Voz del Interior
4195,Bv Rivadavia,2863,,,Berritella,Av La Voz del Interior
4196,Bv Rivadavia,2863,,,Berritella,Av La Voz del Interior
4197,Bs As,2834,,,Av La Voz del Interior,Los Latinos
4198,Bs As,2984,,,Av La Voz del Interior,Los Latinos
4199,Bs As,3212,,,Av La Voz del Interior,Los Latinos
4200,Bs As,3492,,,Av La Voz del Interior,Los Latinos
4201,Los Latinos,6647,,,Bs As,Sta Catalina
4202,Los Latinos,3417,,,Sta Catalina,Los Calabreses
4203,Los Latinos,6214,,,Los Genoveses,Los A lemanes
4203,Los Latinos,6215,,,De los Lombardos,De los Alemanes
4204,Los A lemanes,3223,,,Los Latinos,Av La Voz del Interior
4205,Los A lemanes,2985,,,Los Latinos,Av La Voz del Interior
4206,Av La Voz del Interior,6177,,,Los A lemanes,Los Rusos
4206,Av La Voz del Interior,6177,,,Los A lemanes,Los Rusos
4206,Av La Voz del Interior,6177,,,Los A lemanes,Los Rusos
4207,Av La Voz del Interior,5931,,,Los A lemanes,Los Rusos
4207,Av La Voz del Interior,5931,,,Los A lemanes,Los Rusos
4207,Av La Voz del Interior,5931,,,Los A lemanes,Los Rusos
4208,Av La Voz del Interior,5507,,Aguas Cordobesas,Los Rusos,Circunvalacion
4208,Av La Voz del Interior,5507,,Aguas Cordobesas,Los Rusos,Circunvalacion
4208,Av La Voz del Interior,5507,,Aguas Cordobesas,Los Rusos,Circunvalacion
4209,Monseñor Pablo Cabrera,4935,,,Mojica,Acevedo
4209,Monseñor Pablo Cabrera,4935,,,Mojica,Acevedo
4209,Monseñor Pablo Cabrera,4935,,,Mojica,Acevedo
4210,Monseñor Pablo Cabrera,4768,,,Circunvalacion,Garat
4210,Monseñor Pablo Cabrera,4768,,,Circunvalacion,Garat
4210,Monseñor Pablo Cabrera,4768,,,Circunvalacion,Garat
4211,Monseñor Pablo Cabrera,4407,,,Carvia,Colodrero
4211,Monseñor Pablo Cabrera,4407,,,Carvia,Colodrero
4211,Monseñor Pablo Cabrera,4407,,,Carvia,Colodrero
4212,Monseñor Pablo Cabrera,4149,,,Bogliolo,Fray luis Beltran
4212,Monseñor Pablo Cabrera,4149,,,Bogliolo,Fray luis Beltran
4212,Monseñor Pablo Cabrera,4149,,,Bogliolo,Fray luis Beltran
4213,Santa Fé ,347,,,La Rioja,Santa Rosa
4213,Santa Fé ,347,,,La Rioja,Santa Rosa
4213,Santa Fé ,347,,,La Rioja,Santa Rosa
4213,Santa Fé ,347,,,La Rioja,Santa Rosa
4213,Santa Fé ,347,,,La Rioja,Santa Rosa
4214,Colón,1141,,,Coronel Olmedo,Mendoza
4214,Colón,1141,,,Coronel Olmedo,Mendoza
4214,Colón,1141,,,Coronel Olmedo,Mendoza
4214,Colón,1141,,,Coronel Olmedo,Mendoza
4214,Colón,1141,,,Coronel Olmedo,Mendoza
4215,V. Sarfield,51,,,Dean Funes,27 de Abril
4215,V. Sarfield,51,,,Dean Funes,27 de Abril
4216,V. Sarfield,284,,,Caceros,Duarte Quiroz
4216,V. Sarfield,284,,,Caceros,Duarte Quiroz
4216,V. Sarfield,284,,,Caceros,Duarte Quiroz
4216,V. Sarfield,284,,,Caseros,Duarte Quiroz
4217,Hipolito Irigoyen,32,,,San Juan,Montevideo
4217,Hipolito Irigoyen,32,,,San Juan,Montevideo
4217,Hipolito Irigoyen,32,,,San Juan,Montevideo
4217,Hipolito Irigoyen,32,,,San Juan,Montevideo
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4218,Hipolito Irigoyen,386,,,Ob.Oro,Bs As
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4219,Hipolito Irigoyen,552,,,Ituzaingo,Larrañaga
4220,Concepcion Arenales,904,,,Nores Martinez,Paunero
4220,Concepcion Arenales,904,,,Nores Martinez,Paunero
4220,Concepcion Arenales,904,,,Nores Martinez,Paunero
4221,Concepcion Arenales,992,,,Nores Martinez,Paunero
4221,Concepcion Arenales,992,,,Nores Martinez,Paunero
4221,Concepcion Arenales,992,,,Nores Martinez,Paunero
4222,Concepcion Arenales,1251,,,G.Perez,Richieri
4222,Concepcion Arenales,1251,,,G.Perez,Richieri
4222,Concepcion Arenales,1251,,,G.Perez,Richieri
4223,Richieri,2183,,,Concepcion Arenales,Mateo Luque
4223,Richieri,2183,,,Concepcion Arenales,Mateo Luque
4224,Richieri,2387,,,Mateo Luque,Luis Velez
4224,Richieri,2387,,,Mateo Luque,Luis Velez
4225,Richieri,2569,,,Luis Velez,Cruz Roja
4225,Richieri,2569,,,Luis Velez,Cruz Roja Argentina
4226,Richieri,2652,,,Malagueño,De la Estacion
4226,Richieri,2652,,,Malagueño,De la Estacion
4227,Richieri,2828,,,Tandil,J.Posse
4227,Richieri,2828,,,Tandil,J.Posse
4228,Parras,1342,,,Richieri,Abreu de Figueroa
4229,Javier Diaz,1440,,,Richieri,Mate de luna
4230,Hernando de Lerma,3043,,,J.Diaz,Cosquin
4231,Hernando de Lerma,3150,,,Tanti,Olimpia
4232,Espinoza Amespil,3268,,,Tomas Lawson,Copina
4233,Copina,1848,,,Manco Capac,O'higgins
4234,Copina,2198,,,Huinca Renanco,Taninga
4235,Copina,2286,,,Amboy,Cerro colorado
4236,Copina,2390,,,Altautina,Caminiaga
4237,Carlos Paz,3378,,,Copina,Los Hornillos
4238,Carlos Paz,3496,,,Sampacho,Calmayo
4239,Carlos Paz,3705,,,Calmayo,Celso Barrios
4240,Carlos Paz,3784,,,Calmayo,Celso Barrios
4241,Carlos Paz,3892,,,Calmayo,Celso Barrios
4241,Carlos Paz,3892,,,Calmayo,Celso Barrios
4242,Celso Barrios,2780,,,Huasapampa,Armando Sica
4242,Celso Barrios,2780,,,Huasapampa,Armando Sica
4243,Celso Barrios,2158,,,Luis Saavedra,Publica
4243,Celso Barrios,2158,,,Luis Saavedra,Publica
4244,Calle Publica,3800,,,Celso Barrios,Publica
4244,Calle Publica,3800,,,Celso Barrios,Publica
4245,Calle Publica,3900,,Lopez Cabrera,Calle Publica,Lopez Cabrera
4245,Calle Publica,3900,,Lopez Cabrera,Calle Publica,Lopez Cabrera
4246,Calle Publica,4100,, Ramon Villafañe,Calle Publica,Ramon Villafañe
4246,Calle Publica,4100,, Ramon Villafañe,Calle Publica,Ramon Villafañe
4247,Calle Publica,4300,,Palamara,Scieppauuercia,Palamara
4247,Calle Publica,4300,,Palamara,Scieppauuercia,Palamara
4248,Calle Publica,4400,,Ferreyra de Roca,Palamara,Ferreyra de Roca
4248,Calle Publica,4400,,Ferreyra de Roca,Palamara,Ferreyra de Roca
4249,Ferreyra de Roca,2823,,,Saavedra,Armando Sica
